Year,Units,Kategorija,Klase ekonomske veličine gazdinstava 2010. godina,Veličina razreda prema korišćenom poljoprivrednom zemljištu (ha),Uslovno grlo LSU,Value
2010,ukupno,ukupno,Broj gazdinstava,,,48824.0
2010,ukupno,ukupno,< 2000,,,31769.0
2010,ukupno,ukupno,2000-4000,,,9462.0
2010,ukupno,ukupno,4000-8000,,,5216.0
2010,ukupno,ukupno, 8000-15000,,,1783.0
2010,ukupno,ukupno,15000-25000,,,426.0
2010,ukupno,ukupno,> 25000,,,168.0
2010,ukupno,< 1 GJR,Broj gazdinstava,,,28986.0
2010,ukupno,< 1 GJR,< 2000,,,23768.0
2010,ukupno,< 1 GJR,2000-4000,,,3695.0
2010,ukupno,< 1 GJR,4000-8000,,,1195.0
2010,ukupno,< 1 GJR, 8000-15000,,,245.0
2010,ukupno,< 1 GJR,15000-25000,,,54.0
2010,ukupno,< 1 GJR,> 25000,,,29.0
2010,ukupno,1-2 GJR,Broj gazdinstava,,,12744.0
2010,ukupno,1-2 GJR,< 2000,,,6184.0
2010,ukupno,1-2 GJR,2000-4000,,,3743.0
2010,ukupno,1-2 GJR,4000-8000,,,2048.0
2010,ukupno,1-2 GJR, 8000-15000,,,605.0
2010,ukupno,1-2 GJR,15000-25000,,,111.0
2010,ukupno,1-2 GJR,> 25000,,,53.0
2010,ukupno,2-3 GJR,Broj gazdinstava,,,5459.0
2010,ukupno,2-3 GJR,< 2000,,,1544.0
2010,ukupno,2-3 GJR,2000-4000,,,1656.0
2010,ukupno,2-3 GJR,4000-8000,,,1470.0
2010,ukupno,2-3 GJR, 8000-15000,,,602.0
2010,ukupno,2-3 GJR,15000-25000,,,143.0
2010,ukupno,2-3 GJR,> 25000,,,44.0
2010,ukupno,> 3 GJR,Broj gazdinstava,,,1635.0
2010,ukupno,> 3 GJR,< 2000,,,273.0
2010,ukupno,> 3 GJR,2000-4000,,,368.0
2010,ukupno,> 3 GJR,4000-8000,,,503.0
2010,ukupno,> 3 GJR, 8000-15000,,,331.0
2010,ukupno,> 3 GJR,15000-25000,,,118.0
2010,ukupno,> 3 GJR,> 25000,,,42.0
2016,ukupno,Gazdinstva SPG 2016 - hektari,,Bez zemljišta,,311.0
2016,ukupno,Gazdinstva SPG 2016 - hektari,,<0.10,,1560.0
2016,ukupno,Gazdinstva SPG 2016 - hektari,,0.10-0.50,,10590.0
2016,ukupno,Gazdinstva SPG 2016 - hektari,,0.50-1.00,,5815.0
2016,ukupno,Gazdinstva SPG 2016 - hektari,,1.00-2.00,,7363.0
2016,ukupno,Gazdinstva SPG 2016 - hektari,,2.00-3.00,,3895.0
2016,ukupno,Gazdinstva SPG 2016 - hektari,,3.00-4.00,,2511.0
2016,ukupno,Gazdinstva SPG 2016 - hektari,,4.00-5.00,,1600.0
2016,ukupno,Gazdinstva SPG 2016 - hektari,,5.00-6.00,,1462.0
2016,ukupno,Gazdinstva SPG 2016 - hektari,,6.00-8.00,,2164.0
2016,ukupno,Gazdinstva SPG 2016 - hektari,,8.00-10.00,,1082.0
2016,ukupno,Gazdinstva SPG 2016 - hektari,,10.00-15.00,,1584.0
2016,ukupno,Gazdinstva SPG 2016 - hektari,,15.00-20.00,,1042.0
2016,ukupno,Gazdinstva SPG 2016 - hektari,,20.00-30.00,,1029.0
2016,ukupno,Gazdinstva SPG 2016 - hektari,,30.00-50.00,,900.0
2016,ukupno,Gazdinstva SPG 2016 - hektari,,50.00-100.00,,587.0
2016,ukupno,Gazdinstva SPG 2016 - hektari,,>100.00,,296.0
2010,ukupno,Gazdinstva PP 2010 - hektari,,Bez zemljišta,,593.0
2010,ukupno,Gazdinstva PP 2010 - hektari,,<0.10,,2515.0
2010,ukupno,Gazdinstva PP 2010 - hektari,,0.10-0.50,,15418.0
2010,ukupno,Gazdinstva PP 2010 - hektari,,0.50-1.00,,8467.0
2010,ukupno,Gazdinstva PP 2010 - hektari,,1.00-2.00,,8867.0
2010,ukupno,Gazdinstva PP 2010 - hektari,,2.00-3.00,,4081.0
2010,ukupno,Gazdinstva PP 2010 - hektari,,3.00-4.00,,2258.0
2010,ukupno,Gazdinstva PP 2010 - hektari,,4.00-5.00,,1288.0
2010,ukupno,Gazdinstva PP 2010 - hektari,,5.00-6.00,,1057.0
2010,ukupno,Gazdinstva PP 2010 - hektari,,6.00-8.00,,1067.0
2010,ukupno,Gazdinstva PP 2010 - hektari,,8.00-10.00,,588.0
2010,ukupno,Gazdinstva PP 2010 - hektari,,10.00-15.00,,815.0
2010,ukupno,Gazdinstva PP 2010 - hektari,,15.00-20.00,,342.0
2010,ukupno,Gazdinstva PP 2010 - hektari,,20.00-30.00,,329.0
2010,ukupno,Gazdinstva PP 2010 - hektari,,30.00-50.00,,313.0
2010,ukupno,Gazdinstva PP 2010 - hektari,,50.00-100.00,,441.0
2010,ukupno,Gazdinstva PP 2010 - hektari,,>100.00,,431.0
2010,ukupno,,,,gazdinstva,32675.0
2010,ukupno,,,,LSU,117753.1
2010,ukupno,Porodična poljoprivredna gazdinstva,,,gazdinstva,32656.0
2010,ukupno,Porodična poljoprivredna gazdinstva,,,LSU,112861.9
2010,ukupno,Preduzeća,,,gazdinstva,19.0
2010,ukupno,Preduzeća,,,LSU,4891.2
