Year,Units,Pol,Starost,Value
2015,%,,,43.8
2016,%,,,43.1
2017,%,,,42.2
2018,%,,,41.2
2019,%,,,36.5
2020,%,,,37.6
2021,%,,,38.9
2015,%,Muškarci,,42.8
2016,%,Muškarci,,42.9
2017,%,Muškarci,,42.2
2018,%,Muškarci,,40.3
2019,%,Muškarci,,35.8
2020,%,Muškarci,,37.0
2021,%,Muškarci,,38.1
2015,%,Žene,,44.9
2016,%,Žene,,43.4
2017,%,Žene,,42.2
2018,%,Žene,,42.1
2019,%,Žene,,37.2
2020,%,Žene,,38.3
2021,%,Žene,,39.7
2015,%,,18-64 godine,42.3
2016,%,,18-64 godine,42.3
2017,%,,18-64 godine,40.8
2018,%,,18-64 godine,39.3
2019,%,,18-64 godine,35.0
2020,%,,18-64 godine,36.0
2021,%,,18-64 godine,38.1
2015,%,,65 ili više godina,38.7
2016,%,,65 ili više godina,37.1
2017,%,,65 ili više godina,37.4
2018,%,,65 ili više godina,35.8
2019,%,,65 ili više godina,31.2
2020,%,,65 ili više godina,32.8
2021,%,,65 ili više godina,31.8
2015,%,,Manje od 18 godina,51.0
2016,%,,Manje od 18 godina,48.9
2017,%,,Manje od 18 godina,49.0
2018,%,,Manje od 18 godina,48.5
2019,%,,Manje od 18 godina,43.5
2020,%,,Manje od 18 godina,45.0
2021,%,,Manje od 18 godina,45.5
