Year,Units,Starost,Pol,Kategorija,Value
2016,ukupno,razredi 2/3,Žene,čitanje,7538
2017,ukupno,razredi 2/3,Žene,čitanje,7567
2018,ukupno,razredi 2/3,Žene,čitanje,7690
2019,ukupno,razredi 2/3,Žene,čitanje,7435
2020,ukupno,razredi 2/3,Žene,čitanje,7308
2021,ukupno,razredi 2/3,Žene,čitanje,7204
2022,ukupno,razredi 2/3,Žene,čitanje,7261
2023,ukupno,razredi 2/3,Žene,čitanje,7388
2016,ukupno,razredi 2/3,Žene,matematika,7538
2017,ukupno,razredi 2/3,Žene,matematika,7567
2018,ukupno,razredi 2/3,Žene,matematika,7690
2019,ukupno,razredi 2/3,Žene,matematika,7435
2020,ukupno,razredi 2/3,Žene,matematika,7308
2021,ukupno,razredi 2/3,Žene,matematika,7204
2022,ukupno,razredi 2/3,Žene,matematika,7261
2023,ukupno,razredi 2/3,Žene,matematika,7388
2016,ukupno,razredi 2/3,Muškarci,čitanje,8421
2017,ukupno,razredi 2/3,Muškarci,čitanje,8451
2018,ukupno,razredi 2/3,Muškarci,čitanje,8491
2019,ukupno,razredi 2/3,Muškarci,čitanje,8094
2020,ukupno,razredi 2/3,Muškarci,čitanje,7882
2021,ukupno,razredi 2/3,Muškarci,čitanje,7768
2022,ukupno,razredi 2/3,Muškarci,čitanje,7925
2023,ukupno,razredi 2/3,Muškarci,čitanje,8034
2016,ukupno,razredi 2/3,Muškarci,matematika,8421
2017,ukupno,razredi 2/3,Muškarci,matematika,8451
2018,ukupno,razredi 2/3,Muškarci,matematika,8491
2019,ukupno,razredi 2/3,Muškarci,matematika,8094
2020,ukupno,razredi 2/3,Muškarci,matematika,7882
2021,ukupno,razredi 2/3,Muškarci,matematika,7768
2022,ukupno,razredi 2/3,Muškarci,matematika,7925
2023,ukupno,razredi 2/3,Muškarci,matematika,8034
2016,ukupno,osnovna škola,Žene,čitanje,3754
2017,ukupno,osnovna škola,Žene,čitanje,3696
2018,ukupno,osnovna škola,Žene,čitanje,3540
2019,ukupno,osnovna škola,Žene,čitanje,3447
2020,ukupno,osnovna škola,Žene,čitanje,3303
2021,ukupno,osnovna škola,Žene,čitanje,3337
2022,ukupno,osnovna škola,Žene,čitanje,3515
2016,ukupno,osnovna škola,Žene,matematika,3754
2017,ukupno,osnovna škola,Žene,matematika,3696
2018,ukupno,osnovna škola,Žene,matematika,3540
2019,ukupno,osnovna škola,Žene,matematika,3447
2020,ukupno,osnovna škola,Žene,matematika,3303
2021,ukupno,osnovna škola,Žene,matematika,3337
2022,ukupno,osnovna škola,Žene,matematika,3515
2016,ukupno,osnovna škola,Muškarci,čitanje,3947
2017,ukupno,osnovna škola,Muškarci,čitanje,4051
2018,ukupno,osnovna škola,Muškarci,čitanje,3810
2019,ukupno,osnovna škola,Muškarci,čitanje,3531
2020,ukupno,osnovna škola,Muškarci,čitanje,3682
2021,ukupno,osnovna škola,Muškarci,čitanje,3618
2022,ukupno,osnovna škola,Muškarci,čitanje,3798
2016,ukupno,osnovna škola,Muškarci,matematika,3947
2017,ukupno,osnovna škola,Muškarci,matematika,4051
2018,ukupno,osnovna škola,Muškarci,matematika,3810
2019,ukupno,osnovna škola,Muškarci,matematika,3531
2020,ukupno,osnovna škola,Muškarci,matematika,3682
2021,ukupno,osnovna škola,Muškarci,matematika,3618
2022,ukupno,osnovna škola,Muškarci,matematika,3798
2016,ukupno,srednja škola,Žene,čitanje,3603
2017,ukupno,srednja škola,Žene,čitanje,3185
2018,ukupno,srednja škola,Žene,čitanje,3110
2019,ukupno,srednja škola,Žene,čitanje,3209
2020,ukupno,srednja škola,Žene,čitanje,3373
2021,ukupno,srednja škola,Žene,čitanje,3549
2022,ukupno,srednja škola,Žene,čitanje,3233
2016,ukupno,srednja škola,Žene,matematika,3603
2017,ukupno,srednja škola,Žene,matematika,3185
2018,ukupno,srednja škola,Žene,matematika,3110
2019,ukupno,srednja škola,Žene,matematika,3209
2020,ukupno,srednja škola,Žene,matematika,3373
2021,ukupno,srednja škola,Žene,matematika,3549
2022,ukupno,srednja škola,Žene,matematika,3233
2016,ukupno,srednja škola,Muškarci,čitanje,3595
2017,ukupno,srednja škola,Muškarci,čitanje,3235
2018,ukupno,srednja škola,Muškarci,čitanje,3238
2019,ukupno,srednja škola,Muškarci,čitanje,3200
2020,ukupno,srednja škola,Muškarci,čitanje,3423
2021,ukupno,srednja škola,Muškarci,čitanje,4065
2022,ukupno,srednja škola,Muškarci,čitanje,3324
2016,ukupno,srednja škola,Muškarci,matematika,3595
2017,ukupno,srednja škola,Muškarci,matematika,3235
2018,ukupno,srednja škola,Muškarci,matematika,3238
2019,ukupno,srednja škola,Muškarci,matematika,3200
2020,ukupno,srednja škola,Muškarci,matematika,3423
2021,ukupno,srednja škola,Muškarci,matematika,4065
2022,ukupno,srednja škola,Muškarci,matematika,3324
