Year,Units,Kategorija,Value
2007,procenat,nacionalni parlament,8.64
2008,procenat,nacionalni parlament,11.1
2009,procenat,nacionalni parlament,11.1
2010,procenat,nacionalni parlament,11.1
2011,procenat,nacionalni parlament,11.1
2012,procenat,nacionalni parlament,12.3
2013,procenat,nacionalni parlament,17.3
2014,procenat,nacionalni parlament,14.8
2015,procenat,nacionalni parlament,17.3
2016,procenat,nacionalni parlament,17.3
2017,procenat,nacionalni parlament,23.5
2018,procenat,nacionalni parlament,23.5
2019,procenat,nacionalni parlament,23.5
2020,procenat,nacionalni parlament,29.6
2021,procenat,nacionalni parlament,24.7
2022,procenat,nacionalni parlament,27.2
2023,procenat,nacionalni parlament,28.4
2024,procenat,nacionalni parlament,27.2
2025,procenat,nacionalni parlament,27.2
2026,procenat,nacionalni parlament,27.2
2017,procenat,lokalne samouprave,27.8
2018,procenat,lokalne samouprave,30.0
2019,procenat,lokalne samouprave,31.9
2022,procenat,lokalne samouprave,32.7
