Year,Units,Institution,Category,Value
2010,yes/no,UN General Assembly,Is Montenegro a member?,1
2011,yes/no,UN General Assembly,Is Montenegro a member?,1
2012,yes/no,UN General Assembly,Is Montenegro a member?,1
2013,yes/no,UN General Assembly,Is Montenegro a member?,1
2014,yes/no,UN General Assembly,Is Montenegro a member?,1
2015,yes/no,UN General Assembly,Is Montenegro a member?,1
2016,yes/no,UN General Assembly,Is Montenegro a member?,1
2017,yes/no,UN General Assembly,Is Montenegro a member?,1
2018,yes/no,UN General Assembly,Is Montenegro a member?,1
2019,yes/no,UN General Assembly,Is Montenegro a member?,1
2020,yes/no,UN General Assembly,Is Montenegro a member?,1
2021,yes/no,UN General Assembly,Is Montenegro a member?,1
2022,yes/no,UN General Assembly,Is Montenegro a member?,1
2010,yes/no,UN Security Council,Is Montenegro a member?,-1
2011,yes/no,UN Security Council,Is Montenegro a member?,-1
2012,yes/no,UN Security Council,Is Montenegro a member?,-1
2013,yes/no,UN Security Council,Is Montenegro a member?,-1
2014,yes/no,UN Security Council,Is Montenegro a member?,-1
2015,yes/no,UN Security Council,Is Montenegro a member?,-1
2016,yes/no,UN Security Council,Is Montenegro a member?,-1
2017,yes/no,UN Security Council,Is Montenegro a member?,-1
2018,yes/no,UN Security Council,Is Montenegro a member?,-1
2019,yes/no,UN Security Council,Is Montenegro a member?,-1
2020,yes/no,UN Security Council,Is Montenegro a member?,-1
2021,yes/no,UN Security Council,Is Montenegro a member?,-1
2022,yes/no,UN Security Council,Is Montenegro a member?,-1
2010,yes/no,UN Economic and Social Council,Is Montenegro a member?,-1
2011,yes/no,UN Economic and Social Council,Is Montenegro a member?,-1
2012,yes/no,UN Economic and Social Council,Is Montenegro a member?,-1
2013,yes/no,UN Economic and Social Council,Is Montenegro a member?,-1
2014,yes/no,UN Economic and Social Council,Is Montenegro a member?,-1
2015,yes/no,UN Economic and Social Council,Is Montenegro a member?,-1
2016,yes/no,UN Economic and Social Council,Is Montenegro a member?,-1
2017,yes/no,UN Economic and Social Council,Is Montenegro a member?,-1
2018,yes/no,UN Economic and Social Council,Is Montenegro a member?,-1
2019,yes/no,UN Economic and Social Council,Is Montenegro a member?,-1
2020,yes/no,UN Economic and Social Council,Is Montenegro a member?,1
2021,yes/no,UN Economic and Social Council,Is Montenegro a member?,1
2022,yes/no,UN Economic and Social Council,Is Montenegro a member?,1
2010,yes/no,International Monetary Fund,Is Montenegro a member?,1
2011,yes/no,International Monetary Fund,Is Montenegro a member?,1
2012,yes/no,International Monetary Fund,Is Montenegro a member?,1
2013,yes/no,International Monetary Fund,Is Montenegro a member?,1
2014,yes/no,International Monetary Fund,Is Montenegro a member?,1
2015,yes/no,International Monetary Fund,Is Montenegro a member?,1
2016,yes/no,International Monetary Fund,Is Montenegro a member?,1
2017,yes/no,International Monetary Fund,Is Montenegro a member?,1
2018,yes/no,International Monetary Fund,Is Montenegro a member?,1
2019,yes/no,International Monetary Fund,Is Montenegro a member?,1
2020,yes/no,International Monetary Fund,Is Montenegro a member?,1
2021,yes/no,International Monetary Fund,Is Montenegro a member?,1
2022,yes/no,International Monetary Fund,Is Montenegro a member?,1
2010,yes/no,International Bank for Reconstruction and Development,Is Montenegro a member?,1
2011,yes/no,International Bank for Reconstruction and Development,Is Montenegro a member?,1
2012,yes/no,International Bank for Reconstruction and Development,Is Montenegro a member?,1
2013,yes/no,International Bank for Reconstruction and Development,Is Montenegro a member?,1
2014,yes/no,International Bank for Reconstruction and Development,Is Montenegro a member?,1
2015,yes/no,International Bank for Reconstruction and Development,Is Montenegro a member?,1
2016,yes/no,International Bank for Reconstruction and Development,Is Montenegro a member?,1
2017,yes/no,International Bank for Reconstruction and Development,Is Montenegro a member?,1
2018,yes/no,International Bank for Reconstruction and Development,Is Montenegro a member?,1
2019,yes/no,International Bank for Reconstruction and Development,Is Montenegro a member?,1
2020,yes/no,International Bank for Reconstruction and Development,Is Montenegro a member?,1
2021,yes/no,International Bank for Reconstruction and Development,Is Montenegro a member?,1
2022,yes/no,International Bank for Reconstruction and Development,Is Montenegro a member?,1
2012,yes/no,World Trade Organization,Is Montenegro a member?,1
2013,yes/no,World Trade Organization,Is Montenegro a member?,1
2014,yes/no,World Trade Organization,Is Montenegro a member?,1
2015,yes/no,World Trade Organization,Is Montenegro a member?,1
2016,yes/no,World Trade Organization,Is Montenegro a member?,1
2017,yes/no,World Trade Organization,Is Montenegro a member?,1
2018,yes/no,World Trade Organization,Is Montenegro a member?,1
2019,yes/no,World Trade Organization,Is Montenegro a member?,1
2020,yes/no,World Trade Organization,Is Montenegro a member?,1
2021,yes/no,World Trade Organization,Is Montenegro a member?,1
2022,yes/no,World Trade Organization,Is Montenegro a member?,1
2010,yes/no,UN General Assembly,Does Montenegro have the right to vote?,1
2011,yes/no,UN General Assembly,Does Montenegro have the right to vote?,1
2012,yes/no,UN General Assembly,Does Montenegro have the right to vote?,1
2013,yes/no,UN General Assembly,Does Montenegro have the right to vote?,1
2014,yes/no,UN General Assembly,Does Montenegro have the right to vote?,1
2015,yes/no,UN General Assembly,Does Montenegro have the right to vote?,1
2016,yes/no,UN General Assembly,Does Montenegro have the right to vote?,1
2017,yes/no,UN General Assembly,Does Montenegro have the right to vote?,1
2018,yes/no,UN General Assembly,Does Montenegro have the right to vote?,1
2019,yes/no,UN General Assembly,Does Montenegro have the right to vote?,1
2020,yes/no,UN General Assembly,Does Montenegro have the right to vote?,1
2021,yes/no,UN General Assembly,Does Montenegro have the right to vote?,1
2022,yes/no,UN General Assembly,Does Montenegro have the right to vote?,1
2010,yes/no,UN Security Council,Does Montenegro have the right to vote?,-1
2011,yes/no,UN Security Council,Does Montenegro have the right to vote?,-1
2012,yes/no,UN Security Council,Does Montenegro have the right to vote?,-1
2013,yes/no,UN Security Council,Does Montenegro have the right to vote?,-1
2014,yes/no,UN Security Council,Does Montenegro have the right to vote?,-1
2015,yes/no,UN Security Council,Does Montenegro have the right to vote?,-1
2016,yes/no,UN Security Council,Does Montenegro have the right to vote?,-1
2017,yes/no,UN Security Council,Does Montenegro have the right to vote?,-1
2018,yes/no,UN Security Council,Does Montenegro have the right to vote?,-1
2019,yes/no,UN Security Council,Does Montenegro have the right to vote?,-1
2020,yes/no,UN Security Council,Does Montenegro have the right to vote?,-1
2021,yes/no,UN Security Council,Does Montenegro have the right to vote?,-1
2022,yes/no,UN Security Council,Does Montenegro have the right to vote?,-1
2010,yes/no,UN Economic and Social Council,Does Montenegro have the right to vote?,-1
2011,yes/no,UN Economic and Social Council,Does Montenegro have the right to vote?,-1
2012,yes/no,UN Economic and Social Council,Does Montenegro have the right to vote?,-1
2013,yes/no,UN Economic and Social Council,Does Montenegro have the right to vote?,-1
2014,yes/no,UN Economic and Social Council,Does Montenegro have the right to vote?,-1
2015,yes/no,UN Economic and Social Council,Does Montenegro have the right to vote?,-1
2016,yes/no,UN Economic and Social Council,Does Montenegro have the right to vote?,-1
2017,yes/no,UN Economic and Social Council,Does Montenegro have the right to vote?,-1
2018,yes/no,UN Economic and Social Council,Does Montenegro have the right to vote?,-1
2019,yes/no,UN Economic and Social Council,Does Montenegro have the right to vote?,-1
2020,yes/no,UN Economic and Social Council,Does Montenegro have the right to vote?,1
2021,yes/no,UN Economic and Social Council,Does Montenegro have the right to vote?,1
2022,yes/no,UN Economic and Social Council,Does Montenegro have the right to vote?,1
2012,yes/no,World Trade Organization,Does Montenegro have the right to vote?,1
2013,yes/no,World Trade Organization,Does Montenegro have the right to vote?,1
2014,yes/no,World Trade Organization,Does Montenegro have the right to vote?,1
2015,yes/no,World Trade Organization,Does Montenegro have the right to vote?,1
2016,yes/no,World Trade Organization,Does Montenegro have the right to vote?,1
2017,yes/no,World Trade Organization,Does Montenegro have the right to vote?,1
2018,yes/no,World Trade Organization,Does Montenegro have the right to vote?,1
2019,yes/no,World Trade Organization,Does Montenegro have the right to vote?,1
2020,yes/no,World Trade Organization,Does Montenegro have the right to vote?,1
2021,yes/no,World Trade Organization,Does Montenegro have the right to vote?,1
2022,yes/no,World Trade Organization,Does Montenegro have the right to vote?,1
