Year,Units,Category,Value
2008,%,Non-performing loans net of provisions to capital,49.0
2009,%,Non-performing loans net of provisions to capital,59.2
2010,%,Non-performing loans net of provisions to capital,98.6
2011,%,Non-performing loans net of provisions to capital,66.3
2012,%,Non-performing loans net of provisions to capital,72.5
2013,%,Non-performing loans net of provisions to capital,91.8
2014,%,Non-performing loans net of provisions to capital,68.8
2015,%,Non-performing loans net of provisions to capital,52.5
2016,%,Non-performing loans net of provisions to capital,38.3
2017,%,Non-performing loans net of provisions to capital,28.9
2018,%,Non-performing loans net of provisions to capital,21.0
2019,%,Non-performing loans net of provisions to capital,14.9
2020,%,Non-performing loans net of provisions to capital,21.2
2021,%,Non-performing loans net of provisions to capital,22.6
2008,%,Non-performing loans to total gross loans,7.3
2009,%,Non-performing loans to total gross loans,13.6
2010,%,Non-performing loans to total gross loans,20.9
2011,%,Non-performing loans to total gross loans,15.3
2012,%,Non-performing loans to total gross loans,17.3
2013,%,Non-performing loans to total gross loans,20.3
2014,%,Non-performing loans to total gross loans,18.6
2015,%,Non-performing loans to total gross loans,14.6
2016,%,Non-performing loans to total gross loans,11.4
2017,%,Non-performing loans to total gross loans,8.3
2018,%,Non-performing loans to total gross loans,7.4
2019,%,Non-performing loans to total gross loans,5.1
2020,%,Non-performing loans to total gross loans,5.9
2021,%,Non-performing loans to total gross loans,6.8
