Year,Units,Kategorija,Value
2010,tona po hektaru,Nadzemna biomasa u šumi,96.9
2015,tona po hektaru,Nadzemna biomasa u šumi,96.9
2016,tona po hektaru,Nadzemna biomasa u šumi,96.9
2017,tona po hektaru,Nadzemna biomasa u šumi,96.9
2018,tona po hektaru,Nadzemna biomasa u šumi,96.9
2019,tona po hektaru,Nadzemna biomasa u šumi,96.9
2020,tona po hektaru,Nadzemna biomasa u šumi,96.9
2010,procenat,Godišnja stopa promjene šumske površine,2.8
2020,procenat,Godišnja stopa promjene šumske površine,0.0
2010,procenat,Udio šumske površine sa dugoročnim planom upravljanja,36.8
2015,procenat,Udio šumske površine sa dugoročnim planom upravljanja,36.8
2016,procenat,Udio šumske površine sa dugoročnim planom upravljanja,36.8
2017,procenat,Udio šumske površine sa dugoročnim planom upravljanja,36.8
2018,procenat,Udio šumske površine sa dugoročnim planom upravljanja,36.8
2019,procenat,Udio šumske površine sa dugoročnim planom upravljanja,36.8
2020,procenat,Udio šumske površine sa dugoročnim planom upravljanja,36.8
2010,procenat,Udio šumske površine unutar zakonom utvrđenih zaštićenih područja,10.2
2015,procenat,Udio šumske površine unutar zakonom utvrđenih zaštićenih područja,10.2
2016,procenat,Udio šumske površine unutar zakonom utvrđenih zaštićenih područja,10.2
2017,procenat,Udio šumske površine unutar zakonom utvrđenih zaštićenih područja,10.2
2018,procenat,Udio šumske površine unutar zakonom utvrđenih zaštićenih područja,10.2
2019,procenat,Udio šumske površine unutar zakonom utvrđenih zaštićenih područja,10.2
2020,procenat,Udio šumske površine unutar zakonom utvrđenih zaštićenih područja,10.2
