Year,Units,Institucija,Kategorija,Value
2010,da/ne,Generalna skupština UN,Da li je CG član?,1
2011,da/ne,Generalna skupština UN,Da li je CG član?,1
2012,da/ne,Generalna skupština UN,Da li je CG član?,1
2013,da/ne,Generalna skupština UN,Da li je CG član?,1
2014,da/ne,Generalna skupština UN,Da li je CG član?,1
2015,da/ne,Generalna skupština UN,Da li je CG član?,1
2016,da/ne,Generalna skupština UN,Da li je CG član?,1
2017,da/ne,Generalna skupština UN,Da li je CG član?,1
2018,da/ne,Generalna skupština UN,Da li je CG član?,1
2019,da/ne,Generalna skupština UN,Da li je CG član?,1
2020,da/ne,Generalna skupština UN,Da li je CG član?,1
2021,da/ne,Generalna skupština UN,Da li je CG član?,1
2022,da/ne,Generalna skupština UN,Da li je CG član?,1
2010,da/ne,Savjet bezbjednosti UN,Da li je CG član?,-1
2011,da/ne,Savjet bezbjednosti UN,Da li je CG član?,-1
2012,da/ne,Savjet bezbjednosti UN,Da li je CG član?,-1
2013,da/ne,Savjet bezbjednosti UN,Da li je CG član?,-1
2014,da/ne,Savjet bezbjednosti UN,Da li je CG član?,-1
2015,da/ne,Savjet bezbjednosti UN,Da li je CG član?,-1
2016,da/ne,Savjet bezbjednosti UN,Da li je CG član?,-1
2017,da/ne,Savjet bezbjednosti UN,Da li je CG član?,-1
2018,da/ne,Savjet bezbjednosti UN,Da li je CG član?,-1
2019,da/ne,Savjet bezbjednosti UN,Da li je CG član?,-1
2020,da/ne,Savjet bezbjednosti UN,Da li je CG član?,-1
2021,da/ne,Savjet bezbjednosti UN,Da li je CG član?,-1
2022,da/ne,Savjet bezbjednosti UN,Da li je CG član?,-1
2010,da/ne,Ekonomski i socijalni savjet UN,Da li je CG član?,-1
2011,da/ne,Ekonomski i socijalni savjet UN,Da li je CG član?,-1
2012,da/ne,Ekonomski i socijalni savjet UN,Da li je CG član?,-1
2013,da/ne,Ekonomski i socijalni savjet UN,Da li je CG član?,-1
2014,da/ne,Ekonomski i socijalni savjet UN,Da li je CG član?,-1
2015,da/ne,Ekonomski i socijalni savjet UN,Da li je CG član?,-1
2016,da/ne,Ekonomski i socijalni savjet UN,Da li je CG član?,-1
2017,da/ne,Ekonomski i socijalni savjet UN,Da li je CG član?,-1
2018,da/ne,Ekonomski i socijalni savjet UN,Da li je CG član?,-1
2019,da/ne,Ekonomski i socijalni savjet UN,Da li je CG član?,-1
2020,da/ne,Ekonomski i socijalni savjet UN,Da li je CG član?,1
2021,da/ne,Ekonomski i socijalni savjet UN,Da li je CG član?,1
2022,da/ne,Ekonomski i socijalni savjet UN,Da li je CG član?,1
2010,da/ne,Međunarodni monetarni fond,Da li je CG član?,1
2011,da/ne,Međunarodni monetarni fond,Da li je CG član?,1
2012,da/ne,Međunarodni monetarni fond,Da li je CG član?,1
2013,da/ne,Međunarodni monetarni fond,Da li je CG član?,1
2014,da/ne,Međunarodni monetarni fond,Da li je CG član?,1
2015,da/ne,Međunarodni monetarni fond,Da li je CG član?,1
2016,da/ne,Međunarodni monetarni fond,Da li je CG član?,1
2017,da/ne,Međunarodni monetarni fond,Da li je CG član?,1
2018,da/ne,Međunarodni monetarni fond,Da li je CG član?,1
2019,da/ne,Međunarodni monetarni fond,Da li je CG član?,1
2020,da/ne,Međunarodni monetarni fond,Da li je CG član?,1
2021,da/ne,Međunarodni monetarni fond,Da li je CG član?,1
2022,da/ne,Međunarodni monetarni fond,Da li je CG član?,1
2010,da/ne,Međunarodna banka za rekonstrukciju i razvoj,Da li je CG član?,1
2011,da/ne,Međunarodna banka za rekonstrukciju i razvoj,Da li je CG član?,1
2012,da/ne,Međunarodna banka za rekonstrukciju i razvoj,Da li je CG član?,1
2013,da/ne,Međunarodna banka za rekonstrukciju i razvoj,Da li je CG član?,1
2014,da/ne,Međunarodna banka za rekonstrukciju i razvoj,Da li je CG član?,1
2015,da/ne,Međunarodna banka za rekonstrukciju i razvoj,Da li je CG član?,1
2016,da/ne,Međunarodna banka za rekonstrukciju i razvoj,Da li je CG član?,1
2017,da/ne,Međunarodna banka za rekonstrukciju i razvoj,Da li je CG član?,1
2018,da/ne,Međunarodna banka za rekonstrukciju i razvoj,Da li je CG član?,1
2019,da/ne,Međunarodna banka za rekonstrukciju i razvoj,Da li je CG član?,1
2020,da/ne,Međunarodna banka za rekonstrukciju i razvoj,Da li je CG član?,1
2021,da/ne,Međunarodna banka za rekonstrukciju i razvoj,Da li je CG član?,1
2022,da/ne,Međunarodna banka za rekonstrukciju i razvoj,Da li je CG član?,1
2012,da/ne,Svjetska trgovinska organizacija,Da li je CG član?,1
2013,da/ne,Svjetska trgovinska organizacija,Da li je CG član?,1
2014,da/ne,Svjetska trgovinska organizacija,Da li je CG član?,1
2015,da/ne,Svjetska trgovinska organizacija,Da li je CG član?,1
2016,da/ne,Svjetska trgovinska organizacija,Da li je CG član?,1
2017,da/ne,Svjetska trgovinska organizacija,Da li je CG član?,1
2018,da/ne,Svjetska trgovinska organizacija,Da li je CG član?,1
2019,da/ne,Svjetska trgovinska organizacija,Da li je CG član?,1
2020,da/ne,Svjetska trgovinska organizacija,Da li je CG član?,1
2021,da/ne,Svjetska trgovinska organizacija,Da li je CG član?,1
2022,da/ne,Svjetska trgovinska organizacija,Da li je CG član?,1
2010,da/ne,Afrička razvojna banka,Da li je CG član?,-1
2011,da/ne,Afrička razvojna banka,Da li je CG član?,-1
2012,da/ne,Afrička razvojna banka,Da li je CG član?,-1
2013,da/ne,Afrička razvojna banka,Da li je CG član?,-1
2014,da/ne,Afrička razvojna banka,Da li je CG član?,-1
2015,da/ne,Afrička razvojna banka,Da li je CG član?,-1
2016,da/ne,Afrička razvojna banka,Da li je CG član?,-1
2017,da/ne,Afrička razvojna banka,Da li je CG član?,-1
2018,da/ne,Afrička razvojna banka,Da li je CG član?,-1
2019,da/ne,Afrička razvojna banka,Da li je CG član?,-1
2020,da/ne,Afrička razvojna banka,Da li je CG član?,-1
2021,da/ne,Afrička razvojna banka,Da li je CG član?,-1
2022,da/ne,Afrička razvojna banka,Da li je CG član?,-1
2010,da/ne,Azijska razvojna banka,Da li je CG član?,-1
2011,da/ne,Azijska razvojna banka,Da li je CG član?,-1
2012,da/ne,Azijska razvojna banka,Da li je CG član?,-1
2013,da/ne,Azijska razvojna banka,Da li je CG član?,-1
2014,da/ne,Azijska razvojna banka,Da li je CG član?,-1
2015,da/ne,Azijska razvojna banka,Da li je CG član?,-1
2016,da/ne,Azijska razvojna banka,Da li je CG član?,-1
2017,da/ne,Azijska razvojna banka,Da li je CG član?,-1
2018,da/ne,Azijska razvojna banka,Da li je CG član?,-1
2019,da/ne,Azijska razvojna banka,Da li je CG član?,-1
2020,da/ne,Azijska razvojna banka,Da li je CG član?,-1
2021,da/ne,Azijska razvojna banka,Da li je CG član?,-1
2022,da/ne,Azijska razvojna banka,Da li je CG član?,-1
2010,da/ne,Interamerička razvojna banka,Da li je CG član?,-1
2011,da/ne,Interamerička razvojna banka,Da li je CG član?,-1
2012,da/ne,Interamerička razvojna banka,Da li je CG član?,-1
2013,da/ne,Interamerička razvojna banka,Da li je CG član?,-1
2014,da/ne,Interamerička razvojna banka,Da li je CG član?,-1
2015,da/ne,Interamerička razvojna banka,Da li je CG član?,-1
2016,da/ne,Interamerička razvojna banka,Da li je CG član?,-1
2017,da/ne,Interamerička razvojna banka,Da li je CG član?,-1
